ID	遊戲	牌況	類型	玩家牌	2	3	4	5	6	7	8	9	10	A
*	美式21	基本	軟牌	A7	S	S	S	S	S	S	S	H	H	H
*	美式21	基本	軟牌	A6	H	H	H	H	H	H	H	H	H	H
*	美式21	基本	軟牌	A5	H	H	H	H	H	H	H	H	H	H
*	美式21	基本	軟牌	A4	H	H	H	H	H	H	H	H	H	H
*	美式21	基本	軟牌	A3	H	H	H	H	H	H	H	H	H	H
*	美式21	基本	軟牌	A2	H	H	H	H	H	H	H	H	H	H
*	美式21	基本	保險	BJ									N	N
*	英式21	基本	對子	A	P	P	P	P	P	P	P	P	P	P
*	英式21	基本	對子	10	S	S	S	S	S	S	S	S	S	S
*	英式21	基本	對子	9	S	S	P	P	P	S	P	P	S	S
*	英式21	基本	對子	8	P	P	P	P	P	P	P	P	H	H
*	英式21	基本	對子	7	P	P	P	P	P	P	H	H	H	H
*	英式21	基本	對子	6	H	H	H	P	P	H	H	H	H	H
*	英式21	基本	對子	5	D	D	D	D	D	D	D	H	H	H
*	英式21	基本	對子	4	H	H	H	H	H	H	H	H	H	H
*	英式21	基本	對子	3	H	P	P	P	P	P	P	H	H	H
*	英式21	基本	對子	2	H	P	P	P	P	P	P	H	H	H
*	英式21	基本	硬牌	21	S	S	S	S	S	S	S	S	S	S
*	英式21	基本	硬牌	20	S	S	S	S	S	S	S	S	S	S
*	英式21	基本	硬牌	19	S	S	S	S	S	S	S	S	S	S
*	英式21	基本	硬牌	18	S	S	S	S	S	S	S	S	S	S
*	英式21	基本	硬牌	17	S	S	S	S	S	S	S	S	S	H
*	英式21	基本	硬牌	16	S	S	S	S	S	H	H	H	H	H
*	英式21	基本	硬牌	15	S	S	S	S	S	H	H	H	H	H
*	英式21	基本	硬牌	14	H	H	S	S	S	H	H	H	H	H
*	英式21	基本	硬牌	13	H	H	H	H	S	H	H	H	H	H
*	英式21	基本	硬牌	12	H	H	H	H	H	H	H	H	H	H
*	英式21	基本	硬牌	11	D	D	D	D	D	D	D	D	H	H
*	英式21	基本	硬牌	10	D	D	D	D	D	D	D	H	H	H
*	英式21	基本	硬牌	9	H	H	H	H	D	H	H	H	H	H
*	英式21	基本	硬牌	8	H	H	H	H	H	H	H	H	H	H
*	英式21	基本	硬牌	7	H	H	H	H	H	H	H	H	H	H
*	英式21	基本	硬牌	6	H	H	H	H	H	H	H	H	H	H
*	英式21	基本	硬牌	5	H	H	H	H	H	H	H	H	H	H
*	英式21	基本	硬牌	4	H	H	H	H	H	H	H	H	H	H
*	英式21	基本	軟牌	A10	S	S	S	S	S	S	S	S	S	S
*	英式21	基本	軟牌	A9	S	S	S	S	S	S	S	S	S	S
*	英式21	基本	軟牌	A8	S	S	S	S	S	S	S	S	S	S
*	英式21	基本	軟牌	A7	S	S	S	S	S	S	S	H	H	H
*	英式21	基本	軟牌	A6	H	H	H	H	H	H	H	H	H	H
*	英式21	基本	軟牌	A5	H	H	H	H	H	H	H	H	H	H
*	英式21	基本	軟牌	A4	H	H	H	H	H	H	H	H	H	H
*	英式21	基本	軟牌	A3	H	H	H	H	H	H	H	H	H	H
*	英式21	基本	軟牌	A2	H	H	H	H	H	H	H	H	H	H
*	英式21	基本	加倍後投降	20	-	-	-	-	-	-	-	-	-	-
*	英式21	基本	加倍後投降	19	-	-	-	-	-	-	-	-	-	-
*	英式21	基本	加倍後投降	18	-	-	-	-	-	-	-	-	-	-
*	英式21	基本	加倍後投降	17	-	-	-	-	-	-	-	-	-	-
*	英式21	基本	加倍後投降	16	-	-	-	-	-	R	R	R	R	R
*	英式21	基本	加倍後投降	15	-	-	-	-	-	R	R	R	R	R
*	英式21	基本	加倍後投降	14	-	-	-	-	-	R	R	R	R	R
*	英式21	基本	加倍後投降	13	-	-	-	-	-	R	R	R	R	R
*	英式21	基本	加倍後投降	12	-	-	-	-	-	R	R	R	R	R
*	英式21	基本	加倍後投降	11	-	-	-	-	-	R	R	R	R	R
*	英式21	基本	加倍後投降	10	-	-	-	-	-	R	R	R	R	R
*	英式21	基本	加倍後投降	9	-	-	-	-	-	R	R	R	R	R
*	英式21	基本	加倍後投降	8	-	-	-	-	-	R	R	R	R	R
*	英式21	基本	加倍後投降	7	-	-	-	-	-	R	R	R	R	R
*	英式21	基本	加倍後投降	6	-	-	-	-	-	R	R	R	R	R
*	英式21	基本	加倍後投降	5	-	-	-	-	-	R	R	R	R	R
*	英式21	基本	加倍後投降	4	-	-	-	-	-	R	R	R	R	R
*	22點	基本	對子	A	P	P	P	P	P	P	P	P	P	P
*	22點	基本	對子	10	S	S	S	S	S	S	S	S	S	S
*	22點	基本	對子	9	S	S	P	P	P	S	P	P	S	S
*	22點	基本	對子	8	P	P	P	P	P	P	P	P	H	H
*	22點	基本	對子	7	P	P	P	P	P	P	H	H	H	H
*	22點	基本	對子	6	H	H	H	P	P	H	H	H	H	H
*	22點	基本	對子	5	D	D	D	D	D	D	D	H	H	H
*	22點	基本	對子	4	H	H	H	H	H	H	H	H	H	H
*	22點	基本	對子	3	H	P	P	P	P	P	P	H	H	H
*	22點	基本	對子	2	H	P	P	P	P	P	P	H	H	H
*	22點	基本	硬牌	21	S	S	S	S	S	S	S	S	S	S
*	22點	基本	硬牌	20	S	S	S	S	S	S	S	S	S	S
*	22點	基本	硬牌	19	S	S	S	S	S	S	S	S	S	S
*	22點	基本	硬牌	18	S	S	S	S	S	S	S	S	S	S
*	22點	基本	硬牌	17	S	S	S	S	S	S	S	S	S	H
*	22點	基本	硬牌	16	S	S	S	S	S	H	H	H	H	H
*	22點	基本	硬牌	15	S	S	S	S	S	H	H	H	H	H
*	22點	基本	硬牌	14	H	H	S	S	S	H	H	H	H	H
*	22點	基本	硬牌	13	H	H	H	H	S	H	H	H	H	H
*	22點	基本	硬牌	12	H	H	H	H	H	H	H	H	H	H
*	22點	基本	硬牌	11	D	D	D	D	D	D	D	D	H	H
*	22點	基本	硬牌	10	D	D	D	D	D	D	D	H	H	H
*	22點	基本	硬牌	9	H	H	H	H	D	H	H	H	H	H
*	22點	基本	硬牌	8	H	H	H	H	H	H	H	H	H	H
*	22點	基本	硬牌	7	H	H	H	H	H	H	H	H	H	H
*	22點	基本	硬牌	6	H	H	H	H	H	H	H	H	H	H
*	22點	基本	硬牌	5	H	H	H	H	H	H	H	H	H	H
*	22點	基本	硬牌	4	H	H	H	H	H	H	H	H	H	H
*	22點	基本	軟牌	A10	S	S	S	S	S	S	S	S	S	S
*	22點	基本	軟牌	A9	S	S	S	S	S	S	S	S	S	S
*	22點	基本	軟牌	A8	S	S	S	S	S	S	S	S	S	S
*	22點	基本	軟牌	A7	S	S	S	S	S	S	S	H	H	H
*	22點	基本	軟牌	A6	H	H	H	H	H	H	H	H	H	H
*	22點	基本	軟牌	A5	H	H	H	H	H	H	H	H	H	H
*	22點	基本	軟牌	A4	H	H	H	H	H	H	H	H	H	H
*	22點	基本	軟牌	A3	H	H	H	H	H	H	H	H	H	H
*	22點	基本	軟牌	A2	H	H	H	H	H	H	H	H	H	H
*	22點	基本	保險	BJ									N	N
*	22點	大牌多	硬牌	16									S	
*	22點	大牌很多	硬牌	16								S	S	S
*	22點	大牌很多	硬牌	12		S								
*	22點	大牌很多	保險	BJ									Y	Y
*	22點	小牌多	硬牌	15	H	H								
*	美式21	大牌多	保險	BJ										Y
*	美式21	大牌很多	保險	BJ									Y	Y
*	美式21	大牌很多	硬牌	16								S	S	
player01	22點	基本	硬牌	12	S	S								
player01	22點	大牌多	保險	BJ									Y	Y
